SMILES,Sigma,NBO_CC,NBO_SC,E(HOMO),E(LUMO)
CC(=O)OCc1cccc(C(=O)O)c1,0.04,-0.17,-0.073,-0.27186,-0.07028
O=C(O)CCc1cccc(C(=O)O)c1,-0.03,-0.171,-0.041,-0.26696,-0.06744
C=CCSc1cccc(C(=O)O)c1,0.19,-0.165,-0.2,-0.22714,-0.06716
C=CC[Se]c1cccc(C(=O)O)c1,0.21,-0.175,-0.252,-0.22683,-0.06931
O=C(O)c1ccc2c(c1)CCC2,-0.26,-0.178,-0.022,-0.25271,-0.05783
CC(=O)N(C)c1cccc(C(=O)O)c1,0.31,-0.169,0.142,-0.25616,-0.07833
CC(=O)NCc1cccc(C(=O)O)c1,0.05,-0.169,-0.068,-0.2558,-0.07331
CCOC(=O)Nc1cccc(C(=O)O)c1,0.11,-0.164,0.15,-0.24057,-0.06528
CC(C)(c1cccc(C(=O)O)c1)[N+](=O)[O-],0.18,-0.166,-0.063,-0.27859,-0.08361
O=C(O)c1ccc2c(c1)OCCCO2,0.0,-0.184,0.265,-0.24425,-0.05866
CC(C)c1cccc(C(=O)O)c1,-0.04,-0.172,-0.03,-0.2605,-0.06253
CCCc1cccc(C(=O)O)c1,-0.06,-0.173,-0.035,-0.25961,-0.06212
Cn1c[n+](C)c2cc(C(=O)O)ccc21,1.11,-0.133,0.143,-0.40639,-0.21502
CCNC(=O)Nc1cccc(C(=O)O)c1,0.04,-0.161,0.146,-0.24007,-0.07043
CCNC(=S)Nc1cccc(C(=O)O)c1,0.3,-0.159,0.131,-0.21526,-0.07999
CC(C)Oc1cccc(C(=O)O)c1,0.1,-0.16,0.32,-0.23578,-0.0621
CCCOc1cccc(C(=O)O)c1,0.1,-0.16,0.316,-0.23796,-0.06261
CC(O)Cc1cccc(C(=O)O)c1,-0.12,-0.177,-0.042,-0.25778,-0.059
CC(C)(OO)c1cccc(C(=O)O)c1,0.06,-0.173,-0.054,-0.26764,-0.06577
CC(C)Sc1cccc(C(=O)O)c1,0.23,-0.176,-0.219,-0.23606,-0.06959
CN(C)Cc1cccc(C(=O)O)c1,0.0,-0.174,-0.059,-0.22746,-0.06321
C[Ge](C)(C)c1cccc(C(=O)O)c1,0.0,-0.179,-0.45,-0.26363,-0.06334
C[N+](C)(C)c1cccc(C(=O)O)c1,0.88,-0.133,0.118,-0.40929,-0.1969
C[NH+](C)Cc1cccc(C(=O)O)c1,0.4,-0.151,-0.132,-0.39721,-0.18738
CO[Si](C)(C)c1cccc(C(=O)O)c1,0.04,-0.181,-0.528,-0.26416,-0.06091
C[Si](C)(C)Oc1cccc(C(=O)O)c1,0.13,-0.166,0.313,-0.2459,-0.06248
CO[Si](C)(OC)c1cccc(C(=O)O)c1,0.04,-0.184,-0.549,-0.26539,-0.06009
CO[Si](OC)(OC)c1cccc(C(=O)O)c1,0.09,-0.181,-0.576,-0.26937,-0.06494
C[P+](C)(C)c1cccc(C(=O)O)c1,0.74,-0.146,-0.438,-0.40515,-0.1953
C[Si](C)(C)c1cccc(C(=O)O)c1,-0.04,-0.18,-0.495,-0.26516,-0.06354
C[Sn](C)(C)c1cccc(C(=O)O)c1,0.0,-0.175,-0.517,-0.25491,-0.05412
O=C(O)c1cccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)c1,1.28,-0.156,-0.231,-0.28717,-0.12241
O=C(O)c1cccc(C2(F)C(F)(F)C(F)(F)C2(F)F)c1,0.48,-0.168,-0.116,-0.2951,-0.08595
O=C(O)c1cccc(C(=O)C(F)(F)C(F)(F)C(F)(F)F)c1,0.63,-0.174,-0.175,-0.29787,-0.11262
O=C(O)c1cccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.55,-0.171,-0.085,-0.29267,-0.08319
O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.47,-0.169,-0.148,-0.29419,-0.08426
O=C(O)c1cccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.96,-0.167,-0.333,-0.30806,-0.10137
O=C(O)c1cccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.51,-0.172,-0.0238,-0.28382,-0.08592
O=C(O)c1cccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)c1,0.51,-0.168,-0.122,-0.28594,-0.08646
O=C(O)c1cccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c1,0.49,-0.171,-0.274,-0.26732,-0.08658
N#CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.97,-0.154,-0.042,-0.30799,-0.09898
O=C(O)c1cccc(C2(O)C(F)(F)C(F)(F)C2(F)F)c1,0.36,-0.167,-0.097,-0.2893,-0.08113
N#CC(C#N)=Cc1cccc(C(=O)O)c1,0.66,-0.174,-0.12,-0.27965,-0.12737
O=C(O)c1cccc(-c2ccc(Br)o2)c1,0.15,-0.169,-0.106,-0.22332,-0.07117
O=C(O)c1cccc(N2C(=O)C=CC2=O)c1,0.33,-0.168,0.138,-0.26454,-0.11833
O=C(O)c1cccc(N2C(=O)CC(Cl)C2=O)c1,0.47,-0.168,0.13,-0.27467,-0.0762
O=C(O)c1cccc(-c2cccnn2)c1,0.28,-0.172,-0.084,-0.24586,-0.07531
O=C(O)c1ccc2ccccc2c1,0.04,-0.183,-0.063,-0.2366,-0.07475
CC(C#N)(C#N)c1cccc(C(=O)O)c1,0.6,-0.161,-0.036,-0.29265,-0.0847
O=C(O)c1cccc(-c2ccncn2)c1,0.3,-0.173,-0.092,-0.26633,-0.08263
O=C(O)c1cccc(-c2ncccn2)c1,0.23,-0.18,-0.107,-0.25672,-0.07454
O=C(O)c1cccc(-c2cncnc2)c1,0.28,-0.168,-0.066,-0.26255,-0.07881
O=C(O)c1cccc(-c2ccco2)c1,0.06,-0.172,-0.102,-0.22267,-0.06715
O=C(O)c1cccc(-c2cccs2)c1,0.09,-0.17,-0.073,-0.22924,-0.06975
O=C(O)c1cccc(-c2ccsc2)c1,0.03,-0.171,-0.051,-0.23554,-0.06666
O=C(O)c1cccc(-c2ccc[se]2)c1,0.06,-0.169,-0.081,-0.2261,-0.07134
O=C(O)c1cccc(-c2ccc[te]2)c1,0.06,-0.167,-0.071,-0.21816,-0.06144
O=C(O)c1cccc(-n2cccc2)c1,0.47,-0.162,0.163,-0.22561,-0.07279
O=C(O)c1cccc(N2C(=O)CCC2=O)c1,0.34,-0.169,0.135,-0.26705,-0.06956
CC(=O)/C=C/c1cccc(C(=O)O)c1,0.21,-0.179,-0.081,-0.25874,-0.09514
CC(=O)N(C(C)=O)c1cccc(C(=O)O)c1,0.35,-0.167,0.14,-0.27524,-0.07718
O=C(O)c1cccc(C2CCC2)c1,-0.05,-0.172,-0.034,-0.25637,-0.06152
CC(C)C(=O)c1cccc(C(=O)O)c1,0.38,-0.176,-0.154,-0.26246,-0.08123
O=C(O)c1ccc2c(c1)CCCC2,-0.48,-0.179,-0.023,-0.25234,-0.05745
CC(C)C(=O)Nc1cccc(C(=O)O)c1,0.11,-0.163,0.141,-0.25051,-0.07622
CC(C)(C)c1cccc(C(=O)O)c1,-0.1,-0.172,-0.021,-0.26011,-0.06178
CCC(C)c1cccc(C(=O)O)c1,-0.08,-0.172,-0.027,-0.25964,-0.06219
CC(C)Cc1cccc(C(=O)O)c1,-0.07,-0.173,-0.037,-0.25923,-0.06208
CCCCc1cccc(C(=O)O)c1,-0.08,-0.173,-0.035,-0.2591,-0.06196
CCCCOc1cccc(C(=O)O)c1,0.1,-0.16,0.317,-0.23782,-0.0624
CC(C)(O)Cc1cccc(C(=O)O)c1,-0.16,-0.178,-0.044,-0.25736,-0.05919
COC(OC)(OC)c1cccc(C(=O)O)c1,-0.03,-0.178,-0.106,-0.26679,-0.06469
CC[As](CC)c1cccc(C(=O)O)c1,0.22,-0.174,-0.352,-0.22921,-0.0643
CC[As](=O)(CC)c1cccc(C(=O)O)c1,0.57,-0.17,-0.417,-0.24452,-0.0738
CC[As](=S)(CC)c1cccc(C(=O)O)c1,0.52,-0.169,-0.4,-0.21352,-0.0757
CCCCNc1cccc(C(=O)O)c1,-0.34,-0.162,0.171,-0.21062,-0.05493
CCN(CC)c1cccc(C(=O)O)c1,-0.23,-0.159,0.188,-0.20078,-0.05358
CCP(=O)(CC)c1cccc(C(=O)O)c1,0.37,-0.178,-0.43,-0.26467,-0.07292
CCOP(=O)(/N=N\c1cccc(C(=O)O)c1)OCC,0.16,-0.179,0.063,-0.24921,-0.10802
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,0.55,-0.179,-0.473,-0.27961,-0.07208
CCP(CC)c1cccc(C(=O)O)c1,0.1,-0.177,-0.354,-0.23518,-0.06718
CCP(=S)(CC)c1cccc(C(=O)O)c1,0.39,-0.178,-0.403,-0.22356,-0.07493
C[N+](C)(C)Cc1cccc(C(=O)O)c1,0.4,-0.152,-0.128,-0.3946,-0.18282
C[NH+](C)CCc1cccc(C(=O)O)c1,0.24,-0.153,-0.074,-0.37218,-0.17117
C[Si](C)(C)OCc1cccc(C(=O)O)c1,-0.04,-0.174,-0.063,-0.25587,-0.0593
C[Si](C)(C)Cc1cccc(C(=O)O)c1,-0.16,-0.171,-0.032,-0.24595,-0.06064
CN(C)P(=O)(c1cccc(C(=O)O)c1)N(C)C,0.3,-0.181,-0.458,-0.24193,-0.07067
CN(C)P(c1cccc(C(=O)O)c1)N(C)C,0.18,-0.179,-0.396,-0.20852,-0.06601
N#CC(C#N)=C(C#N)c1cccc(C(=O)O)c1,0.77,-0.163,-0.095,-0.29547,-0.1529
N#Cc1ccc(-c2cccc(C(=O)O)c2)o1,0.25,-0.167,-0.092,-0.243489,-0.0861
O=Cc1ccc(-c2cccc(C(=O)O)c2)o1,0.22,-0.178,-0.117,-0.24153,-0.09215
O=C(O)c1cccc(-c2ccccn2)c1,0.33,-0.176,-0.079,-0.24736,-0.06912
O=C(O)c1cccc(-c2cccnc2)c1,0.23,-0.17,-0.059,-0.25311,-0.07236
O=C(O)c1cccc(-c2ccncc2)c1,0.27,-0.17,-0.063,-0.26344,-0.07581
Cc1nc(C)nc(-c2cccc(C(=O)O)c2)n1,0.25,-0.185,-0.098,-0.26846,-0.08261
O=C(O)c1cccc(C2=CCCC2)c1,-0.06,-0.18,-0.17,-0.22854,-0.06533
CCOC(=O)/C=C/c1cccc(C(=O)O)c1,0.19,-0.18,-0.102,-0.25567,-0.08912
O=C(O)c1cccc(C2CCCC2)c1,-0.05,-0.173,-0.027,-0.25621,-0.0609
CC(C)(C)C(=O)c1cccc(C(=O)O)c1,0.27,-0.177,-0.149,-0.25931,-0.07806
CCCCOC(=O)Nc1cccc(C(=O)O)c1,0.06,-0.158,0.15,-0.23907,-0.06303
CCC(C)(C)c1cccc(C(=O)O)c1,-0.06,-0.174,-0.017,-0.25831,-0.06024
CC(C)(C)Cc1cccc(C(=O)O)c1,-0.05,-0.174,-0.037,-0.25895,-0.06216
CCCCCc1cccc(C(=O)O)c1,-0.08,-0.173,-0.035,-0.25892,-0.06191
CCCCCOc1cccc(C(=O)O)c1,0.1,-0.16,0.317,-0.23769,-0.06231
CCOP(=O)(Cc1cccc(C(=O)O)c1)OCC,0.12,-0.17,-0.055,-0.26016,-0.06254
C[N+](C)(C)CCc1cccc(C(=O)O)c1,0.16,-0.154,-0.072,-0.37031,-0.15952
C[Si](C)(C)CCc1cccc(C(=O)O)c1,-0.16,-0.172,-0.034,-0.25574,-0.06152
C[Si](C)(C)O[Si](C)(C)c1cccc(C(=O)O)c1,0.0,-0.181,-0.523,-0.26406,-0.06278
O=C(O)c1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1,0.25,-0.168,-0.054,-0.26746,-0.0752
O=C(O)c1cccc(-c2c(F)c(F)c(F)c(F)c2F)c1,0.26,-0.17,-0.072,-0.27077,-0.079
O=C(O)c1cccc(P(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.95,-0.169,-0.471,-0.30482,-0.09368
O=C(O)c1cccc(OP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.66,-0.157,0.293,-0.29766,-0.08942
O=C(O)c1cccc(NP(=O)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.28,-0.16,0.153,-0.27306,-0.08352
O=C(O)c1cccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1,0.26,-0.159,-0.088,-0.29164,-0.14564
O=C(O)c1cccc(-c2cccc(Br)c2)c1,0.09,-0.17,-0.056,-0.24862,-0.07137
O=C(O)c1cccc(-c2ccc(Br)cc2)c1,0.15,-0.17,-0.056,-0.24265,-0.07149
O=C(O)c1cccc(-c2cccc(Cl)c2)c1,0.15,-0.17,-0.056,-0.24979,-0.07135
O=C(O)c1cccc(-c2ccc(Cl)cc2)c1,0.15,-0.17,-0.055,-0.24397,-0.07137
O=C(O)c1cccc(-c2cccc(F)c2)c1,0.15,-0.17,-0.057,-0.25019,-0.07136
O=C(O)c1cccc(-c2ccc(F)cc2)c1,0.12,-0.17,-0.053,-0.24422,-0.06993
O=C(O)c1cccc(Oc2ccc(F)cc2)c1,-0.08,-0.161,0.3,-0.24206,-0.06985
O=C(O)c1cccc(-c2cccc(I)c2)c1,0.13,-0.166,-0.052,-0.2393,-0.06318
O=C(O)c1cccc(-c2ccc(I)cc2)c1,0.14,-0.167,-0.052,-0.23363,-0.06376
O=C(O)c1cccc(-c2cccc([N+](=O)[O-])c2)c1,0.21,-0.168,-0.045,-0.26381,-0.10958
O=C(O)c1cccc(-c2ccc([N+](=O)[O-])cc2)c1,0.25,-0.168,-0.065,-0.26709,-0.11063
O=C(O)c1cccc(Sc2ccc([N+](=O)[O-])cc2)c1,0.32,-0.17,-0.232,-0.25068,-0.1047
O=C(O)c1cccc(S(=O)c2ccc([N+](=O)[O-])cc2)c1,0.58,-0.166,-0.264,-0.26567,-0.11882
O=C(O)c1cccc(-n2nc3ccccc3n2)c1,0.49,-0.172,0.128,-0.24376,-0.08518
O=C(O)c1cccc(-c2ccccc2)c1,0.06,-0.172,-0.052,-0.2425,-0.06651
O=C(O)c1cccc(/[N+]([O-])=N/S(=O)(=O)c2ccccc2)c1,0.69,-0.166,0.084,-0.27993,-0.11803
O=C(O)c1cccc(/N=N/c2ccccc2)c1,0.32,-0.179,0.081,-0.24461,-0.10155
O=C(O)c1cccc(Oc2ccccc2)c1,0.25,-0.162,0.299,-0.23768,-0.06752
O=C(O)c1cccc(S(=O)c2ccccc2)c1,0.5,-0.163,-0.253,-0.25066,-0.078
CC(=O)c1ccc(-c2cccc(C(=O)O)c2)o1,0.24,-0.172,-0.082,-0.24161,-0.08856
CC1=CC=CC(c2cccc(C(=O)O)c2)O1,0.38,-0.175,-0.068,-0.21898,-0.06774
O=C(O)c1cccc(S(=O)(=O)c2ccccc2)c1,0.62,-0.17,-0.311,-0.27882,-0.08325
O=C(O)c1cccc(OS(=O)(=O)c2ccccc2)c1,0.36,-0.166,0.262,-0.27332,-0.07516
O=C(O)c1cccc(Sc2ccccc2)c1,0.23,-0.165,-0.191,-0.22745,-0.06434
O=C(O)c1cccc(Nc2ccccc2)c1,-0.02,-0.159,0.162,-0.26636,-0.06267
O=C(O)c1cccc(NS(=O)(=O)c2ccccc2)c1,0.16,-0.165,0.118,-0.25551,-0.07451
O=C(O)c1cccc(S(=O)(=O)Nc2ccccc2)c1,0.56,-0.171,-0.322,-0.25664,-0.08237
CCc1ccc(-c2cccc(C(=O)O)c2)o1,0.09,-0.177,-0.077,-0.21329,-0.06499
Cc1ccc(C)n1-c1cccc(C(=O)O)c1,0.49,-0.17,0.15,-0.1998,-0.0737
O=C(O)c1cccc(C2=CCCCC2)c1,-0.1,-0.173,-0.055,-0.2307,-0.06327
O=C(O)c1cccc(C2CCCCC2)c1,-0.05,-0.173,-0.024,-0.25659,-0.06074
CCCN(CCC)c1cccc(C(=O)O)c1,-0.26,-0.16,0.188,-0.20119,-0.05391
CN(C)CCCCc1cccc(C(=O)O)c1,-0.08,-0.172,-0.035,-0.21932,-0.06255
CC(C)P(=O)(c1cccc(C(=O)O)c1)C(C)C,0.37,-0.178,-0.433,-0.25958,-0.07246
CC(C)P(c1cccc(C(=O)O)c1)C(C)C,0.02,-0.179,-0.354,-0.23174,-0.0662
CCCOP(=O)(OCCC)c1cccc(C(=O)O)c1,0.38,-0.177,-0.473,-0.27918,-0.07257
CC[Ge](CC)(CC)c1cccc(C(=O)O)c1,0.0,-0.178,-0.456,-0.25825,-0.06327
C[N+](C)(C)CCCc1cccc(C(=O)O)c1,0.06,-0.159,-0.062,-0.35279,-0.14919
CCO[Si](OCC)(OCC)c1cccc(C(=O)O)c1,0.02,-0.181,-0.568,-0.27377,-0.06575
CC[P+](CC)(CC)c1cccc(C(=O)O)c1,0.99,-0.158,-0.434,-0.40114,-0.19142
CC[Sn](CC)(CC)c1cccc(C(=O)O)c1,0.0,-0.175,-0.523,-0.24662,-0.05394
O=C(O)c1cccc(P(=NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1,1.24,-0.166,-0.465,-0.3005,-0.10407
CN(C)[Si](c1cccc(C(=O)O)c1)(N(C)C)N(C)C,-0.04,-0.181,-0.534,-0.21949,-0.06398
O=C(O)c1cccc(-c2nc3ccccc3o2)c1,0.3,-0.187,-0.117,-0.23856,-0.07893
O=C(O)c1cccc(-c2nc3ccccc3s2)c1,0.27,-0.184,-0.096,-0.23906,-0.0806
O=C(O)c1cccc(C(=O)c2ccccc2)c1,0.34,-0.176,-0.146,-0.26241,-0.08419
O=C(O)c1cccc(OC(=O)c2ccccc2)c1,0.21,-0.16,0.3,-0.26852,-0.08164
O=C(O)c1cccc(C(=O)Oc2ccccc2)c1,0.37,-0.177,-0.171,-0.25698,-0.08025
O=C(O)c1cccc(/N=C/c2ccccc2)c1,-0.08,-0.171,0.119,-0.23785,-0.07814
O=C(O)c1cccc(/C=N/c2ccccc2)c1,0.35,-0.178,-0.121,-0.23401,-0.08342
O=C(O)c1cccc(NC(=O)c2ccccc2)c1,0.02,-0.163,0.137,-0.24834,-0.07389
O=C(O)c1cccc(C(=O)Nc2ccccc2)c1,0.23,-0.174,-0.118,-0.23676,-0.08373
Cc1ccc(-c2cccc(C(=O)O)c2)cc1,0.06,-0.178,-0.036,-0.23477,-0.06467
O=C(O)c1cccc(Cc2ccccc2)c1,-0.08,-0.172,-0.037,-0.25038,-0.0646
Cc1ccc(O)c(/N=N/c2cccc(C(=O)O)c2)c1,0.27,-0.181,0.084,-0.22844,-0.09623
COc1ccc(-c2cccc(C(=O)O)c2)cc1,0.05,-0.178,-0.048,-0.22224,-0.06344
O=C(O)c1cccc(C(O)c2ccccc2)c1,0.0,-0.173,-0.047,-0.26015,-0.06232
O=C(O)c1cccc(COc2ccccc2)c1,0.06,-0.183,-0.07,-0.23422,-0.0652
O=C(O)c1cccc(CS(=O)(=O)c2ccccc2)c1,0.15,-0.174,-0.077,-0.27839,-0.07756
CCC(CC)(CC)c1cccc(C(=O)O)c1,-0.07,-0.174,-0.018,-0.25795,-0.06031
CCCCCCCc1cccc(C(=O)O)c1,-0.07,-0.172,-0.025,-0.26822,-0.06365
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1,-0.02,-0.183,-0.548,-0.2641,-0.06064
O=C(O)c1cccc(C(F)(F)C(F)(F)c2ccc(F)cc2)c1,0.34,-0.172,-0.142,-0.27799,-0.07981
O=C(O)c1cccc(C#Cc2ccccc2)c1,0.14,-0.187,-0.129,-0.22777,-0.07317
O=C(O)c1cccc(/C=N/C(=O)c2ccccc2)c1,0.39,-0.184,-0.14,-0.26308,-0.10063
O=C(O)c1cccc(C=Cc2ccccc2)c1,0.03,-0.174,-0.085,-0.22082,-0.07664
O=C(O)c1cccc(/C=N/NC(=O)c2ccccc2)c1,0.39,-0.173,-0.114,-0.23907,-0.08167
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1,-0.07,-0.172,0.121,-0.22481,-0.07081
COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,0.09,-0.163,0.138,-0.23505,-0.07119
Cc1ccc(S(=O)(=O)/N=C/Sc2cccc(C(=O)O)c2)cc1,0.65,-0.167,-0.227,-0.26479,-0.0884
CCc1ccc(-c2cccc(C(=O)O)c2)cc1,0.07,-0.178,-0.038,-0.23495,-0.06472
O=C(O)c1cccc(CCc2ccccc2)c1,-0.07,-0.172,-0.039,-0.24887,-0.06408
C/C(=N\c1cccc(C(=O)O)c1)Nc1ccccc1,0.29,-0.171,0.135,-0.21614,-0.05946
C[Si](C)(c1ccccc1)c1cccc(C(=O)O)c1,0.04,-0.181,-0.503,-0.25649,-0.06365
Cc1ccc(S(=O)(=O)/N=S(\C)c2cccc(C(=O)O)c2)cc1,0.65,-0.16,-0.241,-0.24303,-0.08826
Cc1cc(C)[n+](-c2cccc(C(=O)O)c2)c(C)c1,0.62,-0.143,0.098,-0.39863,-0.21696
CC(C)(C)P(=O)(c1cccc(C(=O)O)c1)C(C)(C)C,0.31,-0.167,-0.0399,-0.257,-0.07633
CCCCP(=O)(CCCC)c1cccc(C(=O)O)c1,0.35,-0.173,-0.441,-0.26051,-0.07311
CCCCOP(=O)(OCCCC)c1cccc(C(=O)O)c1,0.41,-0.176,-0.457,-0.28179,-0.07435
CC(C)(C)P(c1cccc(C(=O)O)c1)C(C)(C)C,0.01,-0.173,-0.43,-0.25444,-0.07075
O=C(O)c1cccc(/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)c1,0.15,-0.17,-0.108,-0.26686,-0.12142
O=C(O)c1cccc(/C=C/C(=O)c2ccccc2)c1,0.18,-0.178,-0.072,-0.25931,-0.09996
CC(C)c1ccc(-c2cccc(C(=O)O)c2)cc1,0.08,-0.178,-0.036,-0.23483,-0.06465
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1,-0.09,-0.182,-0.543,-0.27237,-0.06458
CC(C)(C)c1ccc(-c2cccc(C(=O)O)c2)cc1,0.07,-0.172,-0.036,-0.23452,-0.06454
O=C(O)c1cccc(C23CC4CC(CC(C4)C2)C3)c1,-0.12,-0.172,-0.022,-0.25619,-0.06133
O=C(O)c1cccc([As](c2ccccc2)c2ccccc2)c1,0.03,-0.175,-0.347,-0.23817,-0.06873
O=C(O)c1cccc([As](=O)(c2ccccc2)c2ccccc2)c1,0.54,-0.176,-0.411,-0.2527,-0.07416
O=C(O)c1cccc(N(c2ccccc2)c2ccccc2)c1,0.0,-0.167,-0.157,-0.20048,-0.06456
O=C(O)c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,0.38,-0.172,-0.424,-0.27323,-0.07383
O=C(O)c1cccc(P(c2ccccc2)c2ccccc2)c1,0.11,-0.176,-0.36,-0.22771,-0.06658
O=C(O)c1cccc(P(=S)(c2ccccc2)c2ccccc2)c1,0.29,-0.176,-0.403,-0.22651,-0.07527
CCCN(CCC)P(c1cccc(F)c1)c1cccc(C(=O)O)c1,0.2,-0.177,-0.376,-0.20303,-0.06763
O=C(O)c1cccc(-c2cc(=O)c3ccc4ccccc4c3o2)c1,0.37,-0.169,-0.09,-0.23657,-0.08722
O=C(O)c1cccc(-c2cc(=O)c3c(ccc4ccccc43)o2)c1,0.38,-0.17,-0.091,-0.23703,-0.08719
O=C(O)c1cccc(-c2nc3ccccc3n2-c2ccccc2)c1,0.17,-0.175,-0.088,-0.22732,-0.06897
O=C(O)c1cccc(C(c2ccccc2)c2ccccc2)c1,-0.03,-0.172,-0.03,-0.24541,-0.06397
CN1c2ccccc2[As](c2cccc(C(=O)O)c2)c2ccccc21,0.12,-0.177,-0.348,-0.20753,-0.06496
Cc1ccc(P(=O)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,0.13,-0.173,-0.431,-0.25938,-0.0707
O=C(O)c1cccc(CP(=O)(c2ccccc2)c2ccccc2)c1,0.14,-0.175,-0.058,-0.25527,-0.06254
Cc1ccc(P(=S)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,0.09,-0.177,-0.402,-0.22428,-0.07415
C[P+](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1,1.13,-0.153,-0.436,-0.28913,-0.18287
C[Si](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1,0.1,-0.18,-0.511,-0.25611,-0.06447
O=C(O)c1cccc(C(=O)OC(c2ccccc2)c2ccccc2)c1,0.36,-0.18,-0.167,-0.25154,-0.07562
Cc1ccc(P(=O)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,0.17,-0.179,-0.428,-0.25579,-0.07062
Cc1ccc(P(=S)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,0.2,-0.177,-0.401,-0.22223,-0.07285
Cc1ccc([P+](C)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,1.09,-0.154,-0.434,-0.38009,-0.18446
Cc1ccc([P+](C)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,1.13,-0.154,-0.433,-0.37586,-0.17819
O=C(O)c1cccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)c1,0.05,-0.18,-0.453,-0.2563,-0.06373
Cc1cc(-c2ccccc2)cc(-c2ccccc2)[n+]1-c1cccc(C(=O)O)c1,0.65,-0.145,-0.122,-0.36652,-0.21554
O=C(O)c1cccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.33,-0.179,0.156,-0.19457,-0.05636
O=C(O)c1cccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.03,-0.182,-0.513,-0.25638,-0.06377
O=C(O)c1cccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)c1,0.53,-0.174,-0.532,-0.24834,-0.05579
O=C(O)c1cccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.01,-0.187,-0.027,-0.24403,-0.06253
O=C(O)c1cccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)c1,0.34,-0.154,0.112,-0.3626,-0.21299
O=C(O)c1ccc(B(F)F)cc1,0.48,-0.148,-0.462,-0.28503,-0.09549
O=C(O)c1ccc(Br)cc1,0.23,-0.17,-0.106,-0.26583,-0.07525
O=C(O)c1ccc([Ge](Br)(Br)Br)cc1,0.73,-0.153,-0.487,-0.29256,-0.09384
O=C(O)c1ccc([Si](Br)(Br)Br)cc1,0.57,-0.157,-0.549,-0.2862,-0.08962
O=C(O)c1ccc(Cl)cc1,0.23,-0.18,-0.034,-0.2704,-0.07442
O=C(O)c1ccc([Hg]Cl)cc1,0.35,-0.167,-0.034,-0.28067,-0.07691
O=C(O)c1ccc(S(=O)(=O)Cl)cc1,1.11,-0.144,-0.295,-0.30711,-0.11788
O=C(O)c1ccc(SCl)cc1,0.48,-0.148,-0.223,-0.25568,-0.11528
O=C(O)c1ccc(I(Cl)Cl)cc1,1.11,-0.161,-0.173,-0.29182,-0.15658
O=C(O)c1ccc(P(=O)(Cl)Cl)cc1,0.9,-0.147,-0.44,-0.29909,-0.10282
O=C(O)c1ccc(P(Cl)Cl)cc1,0.61,-0.152,-0.397,-0.28436,-0.09988
O=C(O)c1ccc(P(=S)(Cl)Cl)cc1,0.8,-0.147,-0.408,-0.27564,-0.10516
O=C(O)c1ccc([Ge](Cl)(Cl)Cl)cc1,0.79,-0.153,-0.487,-0.296,-0.09634
O=C(O)c1ccc([Si](Cl)(Cl)Cl)cc1,0.56,-0.145,-0.576,-0.2941,-0.09722
