SMILES,Sigma
CCCCCCCc1cccc(C(=O)O)c1,-0.07
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1,-0.02
O=C(O)c1cccc(C(F)(F)C(F)(F)c2ccc(F)cc2)c1,0.34
O=C(O)c1cccc(C#Cc2ccccc2)c1,0.14
O=C(O)c1cccc(/C=N/C(=O)c2ccccc2)c1,0.39
O=C(O)c1cccc(C=Cc2ccccc2)c1,0.03
O=C(O)c1cccc(/C=N/NC(=O)c2ccccc2)c1,0.39
COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1,-0.07
COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1,0.09
Cc1ccc(S(=O)(=O)/N=C/Sc2cccc(C(=O)O)c2)cc1,0.65
CCc1ccc(-c2cccc(C(=O)O)c2)cc1,0.07
O=C(O)c1cccc(CCc2ccccc2)c1,-0.07
C/C(=N\c1cccc(C(=O)O)c1)Nc1ccccc1,0.29
C[Si](C)(c1ccccc1)c1cccc(C(=O)O)c1,0.04
Cc1ccc(S(=O)(=O)/N=S(\C)c2cccc(C(=O)O)c2)cc1,0.65
Cc1cc(C)[n+](-c2cccc(C(=O)O)c2)c(C)c1,0.62
CC(C)(C)P(=O)(c1cccc(C(=O)O)c1)C(C)(C)C,0.31
CCCCP(=O)(CCCC)c1cccc(C(=O)O)c1,0.35
CCCCOP(=O)(OCCCC)c1cccc(C(=O)O)c1,0.41
CC(C)(C)P(c1cccc(C(=O)O)c1)C(C)(C)C,0.01
O=C(O)c1cccc(/C=C/C(=O)c2ccc([N+](=O)[O-])cc2)c1,0.15
O=C(O)c1cccc(/C=C/C(=O)c2ccccc2)c1,0.18
CC(C)c1ccc(-c2cccc(C(=O)O)c2)cc1,0.08
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1cccc(C(=O)O)c1,-0.09
CC(C)(C)c1ccc(-c2cccc(C(=O)O)c2)cc1,0.07
O=C(O)c1cccc(C23CC4CC(CC(C4)C2)C3)c1,-0.12
O=C(O)c1cccc([As](c2ccccc2)c2ccccc2)c1,0.03
O=C(O)c1cccc([As](=O)(c2ccccc2)c2ccccc2)c1,0.54
O=C(O)c1cccc(N(c2ccccc2)c2ccccc2)c1,0.0
O=C(O)c1cccc(P(=O)(c2ccccc2)c2ccccc2)c1,0.38
O=C(O)c1cccc(P(c2ccccc2)c2ccccc2)c1,0.11
O=C(O)c1cccc(P(=S)(c2ccccc2)c2ccccc2)c1,0.29
CCCN(CCC)P(c1cccc(F)c1)c1cccc(C(=O)O)c1,0.2
O=C(O)c1cccc(-c2cc(=O)c3ccc4ccccc4c3o2)c1,0.37
O=C(O)c1cccc(-c2cc(=O)c3c(ccc4ccccc43)o2)c1,0.38
O=C(O)c1cccc(-c2nc3ccccc3n2-c2ccccc2)c1,0.17
O=C(O)c1cccc(C(c2ccccc2)c2ccccc2)c1,-0.03
CN1c2ccccc2[As](c2cccc(C(=O)O)c2)c2ccccc21,0.12
Cc1ccc(P(=O)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,0.13
O=C(O)c1cccc(CP(=O)(c2ccccc2)c2ccccc2)c1,0.14
Cc1ccc(P(=S)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,0.09
C[P+](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1,1.13
C[Si](c1ccccc1)(c1ccccc1)c1cccc(C(=O)O)c1,0.1
O=C(O)c1cccc(C(=O)OC(c2ccccc2)c2ccccc2)c1,0.36
Cc1ccc(P(=O)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,0.17
Cc1ccc(P(=S)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,0.2
Cc1ccc([P+](C)(c2ccccc2)c2cccc(C(=O)O)c2)cc1,1.09
Cc1ccc([P+](C)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1,1.13
O=C(O)c1cccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)c1,0.05
Cc1cc(-c2ccccc2)cc(-c2ccccc2)[n+]1-c1cccc(C(=O)O)c1,0.65
O=C(O)c1cccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.33
O=C(O)c1cccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.03
O=C(O)c1cccc([Sn](c2ccccc2)(c2ccccc2)c2ccccc2)c1,0.53
O=C(O)c1cccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1,-0.01
O=C(O)c1cccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)c1,0.34
O=C(O)c1ccc(B(F)F)cc1,0.48
O=C(O)c1ccc(Br)cc1,0.23
O=C(O)c1ccc([Ge](Br)(Br)Br)cc1,0.73
O=C(O)c1ccc([Si](Br)(Br)Br)cc1,0.57
O=C(O)c1ccc(Cl)cc1,0.23
O=C(O)c1ccc([Hg]Cl)cc1,0.35
O=C(O)c1ccc(S(=O)(=O)Cl)cc1,1.11
O=C(O)c1ccc(SCl)cc1,0.48
O=C(O)c1ccc(I(Cl)Cl)cc1,1.11
O=C(O)c1ccc(P(=O)(Cl)Cl)cc1,0.9
O=C(O)c1ccc(P(Cl)Cl)cc1,0.61
O=C(O)c1ccc(P(=S)(Cl)Cl)cc1,0.8
O=C(O)c1ccc([Ge](Cl)(Cl)Cl)cc1,0.79
O=C(O)c1ccc([Si](Cl)(Cl)Cl)cc1,0.56
O=C(O)c1ccc(F)cc1,0.06
O=C(O)c1ccc([Hg]F)cc1,0.33
O=C(O)c1ccc(S(=O)F)cc1,0.83
O=C(O)c1ccc(S(=O)(=O)F)cc1,0.91
O=C(O)c1ccc(I(F)F)cc1,0.83
O=C(O)c1ccc(P(=O)(F)F)cc1,0.89
O=C(O)c1ccc(P(F)F)cc1,0.59
O=C(O)c1ccc([Ge](F)(F)F)cc1,0.97
O=C(O)c1ccc(S(F)(F)F)cc1,0.8
O=C(O)c1ccc([Si](F)(F)F)cc1,0.69
O=C(O)c1ccc(I(F)(F)(F)F)cc1,1.15
O=C(O)c1ccc(P(F)(F)(F)F)cc1,0.8
O=C(O)c1ccc(S(F)(F)(F)(F)F)cc1,0.68
O=C(O)c1ccc(I)cc1,0.18
O=Ic1ccc(C(=O)O)cc1,0.62
O=C(O)c1ccc(I(=O)=O)cc1,0.78
O=Nc1ccc(C(=O)O)cc1,0.91
O=C(O)c1ccc([N+](=O)[O-])cc1,0.78
O=C(O)c1ccc(O[N+](=O)[O-])cc1,0.7
N#[N+]c1ccc(C(=O)O)cc1,1.91
O=C(O)c1ccc(N=[N+]([O-])[O-])cc1,-0.43
[N-]=[N+]=Nc1ccc(C(=O)O)cc1,0.08
O=C(O)c1ccc([O-])cc1,-0.81
O=C(O)c1ccc(S(=O)[O-])cc1,-0.05
O=C(O)c1ccc(S(=O)(=O)[O-])cc1,0.35
O=C(O)c1ccc([S-])cc1,-1.21
O=C(O)c1ccc([As](=O)([O-])O)cc1,-0.02
O=C(O)c1ccc(N[N+](=O)[O-])cc1,0.57
O=C(O)c1ccc(O)cc1,-0.37
O=C(O)c1ccc(S(=O)O)cc1,-0.07
O=C(O)c1ccc(P(=O)([O-])O)cc1,0.26
O=C(O)c1ccc(OP(=O)([O-])O)cc1,0.0
O=C(O)c1ccc(S)cc1,0.15
O=C(O)c1ccc(B(O)O)cc1,0.12
Nc1ccc(C(=O)O)cc1,-0.66
O=C(O)c1ccc(NO)cc1,-0.34
NS(=O)(=O)c1ccc(C(=O)O)cc1,0.6
O=C(O)c1ccc(P(=O)(O)O)cc1,0.42
O=C(O)c1ccc(P)cc1,0.05
O=C(O)c1ccc([B-](O)(O)O)cc1,-0.44
O=C(O)c1ccc([GeH3])cc1,0.01
[NH3+]c1ccc(C(=O)O)cc1,0.6
NNc1ccc(C(=O)O)cc1,-0.55
O=C(O)c1ccc([SiH3])cc1,0.1
O=C(O)c1ccc(C(Br)(Br)Br)cc1,0.29
O=C(O)c1ccc(C(F)(F)Cl)cc1,0.46
O=C(O)c1ccc(-n2nnnc2Cl)cc1,0.61
O=C(O)c1ccc(C(=O)Cl)cc1,0.61
O=C(O)c1ccc(N=C(Cl)Cl)cc1,0.13
O=C(O)c1ccc(C(Cl)(Cl)Cl)cc1,0.46
O=C(O)c1ccc(OC(Cl)(Cl)Cl)cc1,0.35
O=C(O)c1ccc(C(=O)F)cc1,0.7
O=C(O)c1ccc(C(F)(F)F)cc1,0.54
O=C(O)c1ccc([Hg]C(F)(F)F)cc1,0.32
O=C(O)c1ccc([Hg]SC(F)(F)F)cc1,0.42
O=C(O)c1ccc(I=NS(=O)(=O)C(F)(F)F)cc1,1.35
O=C(O)c1ccc(N=NC(F)(F)F)cc1,0.68
O=C(O)c1ccc(OC(F)(F)F)cc1,0.35
O=C(O)c1ccc(S(=O)C(F)(F)F)cc1,0.69
O=C(O)c1ccc([Se](=O)C(F)(F)F)cc1,0.83
O=C(O)c1ccc(S(=O)(=O)C(F)(F)F)cc1,0.96
O=C(O)c1ccc([Se](=O)(=O)C(F)(F)F)cc1,1.21
O=C(O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,0.53
O=C(O)c1ccc(SC(F)(F)F)cc1,0.5
O=C(O)c1ccc([Se]C(F)(F)F)cc1,0.45
N#C[Hg]c1ccc(C(=O)O)cc1,0.34
N#Cc1ccc(C(=O)O)cc1,0.66
[C-]#[N+]c1ccc(C(=O)O)cc1,0.49
O=C=Nc1ccc(C(=O)O)cc1,0.19
N#COc1ccc(C(=O)O)cc1,0.54
N#CS(=O)(=O)c1ccc(C(=O)O)cc1,1.26
O=C(O)c1ccc(N=C=S)cc1,0.38
N#CSc1ccc(C(=O)O)cc1,0.52
N#C[Se]c1ccc(C(=O)O)cc1,0.66
N#CN=Nc1ccc(C(=O)O)cc1,1.03
N#C/N=[N+](\[O-])c1ccc(C(=O)O)cc1,0.89
O=C(O)c1ccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cc1,0.82
[N-]=[N+]=Nc1nnnn1-c1ccc(C(=O)O)cc1,0.54
O=C([O-])c1ccc(C(=O)O)cc1,0.0
O=C(O)c1ccc(C(Br)Br)cc1,0.32
O=C(O)c1ccc(C(Cl)Cl)cc1,0.32
O=C(O)c1ccc(OC(Cl)Cl)cc1,0.26
O=C(O)c1ccc(C(F)F)cc1,0.32
O=C(O)c1ccc(OC(F)F)cc1,0.18
O=C(O)c1ccc(S(=O)C(F)F)cc1,0.58
O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1,0.86
O=C(O)c1ccc(SC(F)F)cc1,0.37
N=S(=O)(c1ccc(C(=O)O)cc1)C(F)(F)F,0.84
O=C(O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1,0.39
O=C(O)c1ccc(C(I)I)cc1,0.26
N#CNc1ccc(C(=O)O)cc1,0.06
O=C(O)c1ccc(-n2cnnn2)cc1,0.5
O=C(O)c1ccc(-c2nnn[nH]2)cc1,0.56
O=C(O)c1ccc(-n2nnnc2O)cc1,0.33
O=C(O)c1ccc(-n2nnnc2S)cc1,0.45
O=C(O)c1ccc(Nc2nnns2)cc1,0.19
O=Cc1ccc(C(=O)O)cc1,0.42
O=C(O)c1ccc(C(=O)O)cc1,0.45
O=C(O)c1ccc(CBr)cc1,0.14
O=C(O)c1ccc(CCl)cc1,0.12
O=C(O)c1ccc(OCCl)cc1,0.08
O=C(O)c1ccc(CF)cc1,0.11
O=C(O)c1ccc(OCF)cc1,0.02
O=C(O)c1ccc(SCF)cc1,0.2
O=C(O)c1ccc(CI)cc1,0.11
O=CNc1ccc(C(=O)O)cc1,0.0
NC(=O)c1ccc(C(=O)O)cc1,0.36
NC(=S)c1ccc(C(=O)O)cc1,0.3
O=C(O)c1ccc(/C=N/O)cc1,0.1
NC(=O)N=[N+]([O-])c1ccc(C(=O)O)cc1,0.63
Cc1ccc(C(=O)O)cc1,-0.17
C[Si](Cl)(Cl)c1ccc(C(=O)O)cc1,0.39
C[Si](F)(F)c1ccc(C(=O)O)cc1,0.23
C[Hg]c1ccc(C(=O)O)cc1,0.1
O=C(O)c1ccc(NCS(=O)(=O)[O-])cc1,-0.57
NC(=O)Nc1ccc(C(=O)O)cc1,-0.24
CN(c1ccc(C(=O)O)cc1)[N+](=O)[O-],0.61
NC(=S)Nc1ccc(C(=O)O)cc1,0.16
COc1ccc(C(=O)O)cc1,-0.27
O=C(O)c1ccc(CO)cc1,0.0
CS(=O)c1ccc(C(=O)O)cc1,0.49
COSc1ccc(C(=O)O)cc1,0.17
CS(=O)Oc1ccc(C(=O)O)cc1,0.45
COS(=O)c1ccc(C(=O)O)cc1,0.54
CS(=O)(=O)c1ccc(C(=O)O)cc1,0.72
CS(=O)(=O)Sc1ccc(C(=O)O)cc1,0.54
CS(=O)(=O)Oc1ccc(C(=O)O)cc1,0.36
CSc1ccc(C(=O)O)cc1,0.0
CSSc1ccc(C(=O)O)cc1,0.13
C[Se]c1ccc(C(=O)O)cc1,0.0
CNc1ccc(C(=O)O)cc1,-0.7
NCc1ccc(C(=O)O)cc1,-0.11
CS(=O)(=O)Nc1ccc(C(=O)O)cc1,0.03
[NH3+]Cc1ccc(C(=O)O)cc1,0.53
O=C(O)c1ccc(N(C(=O)F)C(=O)F)cc1,0.57
O=C(O)c1ccc([Hg]OC(=O)C(F)(F)F)cc1,0.52
O=C(O)c1ccc(C(=O)C(F)(F)F)cc1,0.8
O=C(O)c1ccc(SC(=O)C(F)(F)F)cc1,0.46
O=C(O)c1ccc(OC(=O)C(F)(F)F)cc1,0.46
O=C(O)c1ccc(N(C(=O)F)C(F)(F)F)cc1,0.5
O=C(O)c1ccc(C(F)(F)C(F)(F)F)cc1,0.52
O=C(O)c1ccc(OC(F)(F)C(F)(F)F)cc1,0.28
O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)F)cc1,1.08
O=C(O)c1ccc(SC(F)(F)C(F)(F)F)cc1,0.48
O=C(O)c1ccc(N(C(F)(F)F)C(F)(F)F)cc1,0.53
O=C(O)c1ccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)cc1,1.28
O=C(O)c1ccc(S(=O)(=NS(=O)(=O)C(F)(F)F)C(F)(F)F)cc1,1.4
O=C(O)c1ccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)cc1,0.83
O=C(O)c1ccc(P(C(F)(F)F)C(F)(F)F)cc1,0.69
N#CP(C#N)c1ccc(C(=O)O)cc1,0.9
C#Cc1ccc(C(=O)O)cc1,0.23
O=C(O)c1ccc(OC(F)(F)C(F)Cl)cc1,0.28
O=C(O)c1ccc(NC(=O)C(F)(F)F)cc1,0.12
O=C(O)c1ccc(/C=N/S(=O)(=O)C(F)(F)F)cc1,1.0
O=C(O)c1ccc(OC(F)(F)C(F)F)cc1,0.25
O=C(O)c1ccc(SC(F)(F)C(F)F)cc1,0.47
O=C(O)c1ccc(-n2nnnc2SS2=NN=NN2)cc1,0.64
C#CSc1ccc(C(=O)O)cc1,0.19
O=C(O)c1ccc(S/C=C/Cl)cc1,0.24
O=C(O)c1ccc([Se]/C=C/Cl)cc1,0.26
O=C(O)c1ccc(CC(F)(F)F)cc1,0.09
O=C(O)c1ccc(CS(=O)C(F)(F)F)cc1,0.24
O=C(O)c1ccc(CS(=O)(=O)C(F)(F)F)cc1,0.31
O=C(O)c1ccc(CSC(F)(F)F)cc1,0.15
N#CCc1ccc(C(=O)O)cc1,0.18
O=C(O)c1ccc(C=C[N+](=O)[O-])cc1,0.26
O=C([O-])Cc1ccc(C(=O)O)cc1,-0.16
N#CSCc1ccc(C(=O)O)cc1,0.14
C=Cc1ccc(C(=O)O)cc1,-0.04
O=C(CCl)Nc1ccc(C(=O)O)cc1,-0.03
CN(c1ccc(C(=O)O)cc1)S(=O)(=O)C(F)(F)F,0.44
CC(=O)O[Hg]c1ccc(C(=O)O)cc1,0.4
CC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-],0.61
O=C(O)c1ccc(C2CO2)cc1,0.03
C=COc1ccc(C(=O)O)cc1,-0.09
CC(=O)c1ccc(C(=O)O)cc1,0.5
CC(=O)Sc1ccc(C(=O)O)cc1,0.44
CC(=O)Oc1ccc(C(=O)O)cc1,0.31
COC(=O)c1ccc(C(=O)O)cc1,0.45
O=C(O)c1ccc(C2CS2)cc1,0.01
C=CSc1ccc(C(=O)O)cc1,0.2
C=C[Se]c1ccc(C(=O)O)cc1,0.21
O=C(O)c1ccc(N2CC2)cc1,-0.22
O=C(O)c1ccc(C2CN2)cc1,-0.1
CN1OC1c1ccc(C(=O)O)cc1,0.12
COC(=O)Nc1ccc(C(=O)O)cc1,-0.17
CC(=O)Nc1ccc(C(=O)O)cc1,0.0
CNC(=O)c1ccc(C(=O)O)cc1,0.36
CO/N=C/c1ccc(C(=O)O)cc1,0.3
NC(=O)Cc1ccc(C(=O)O)cc1,0.07
CC(=S)Nc1ccc(C(=O)O)cc1,0.12
CNC(=S)c1ccc(C(=O)O)cc1,0.34
NC(=S)N/N=C/c1ccc(C(=O)O)cc1,0.4
O=C(O)c1ccc(OCC[O-])cc1,-0.12
CCc1ccc(C(=O)O)cc1,-0.15
NNC(=O)N/N=C/c1ccc(C(=O)O)cc1,0.16
CCOc1ccc(C(=O)O)cc1,-0.24
CC(O)c1ccc(C(=O)O)cc1,-0.07
COCc1ccc(C(=O)O)cc1,0.01
CCS(=O)(=O)c1ccc(C(=O)O)cc1,0.77
CCSc1ccc(C(=O)O)cc1,0.03
CN(C)P(Cl)c1ccc(C(=O)O)cc1,0.56
N[C+](N)SCc1ccc(C(=O)O)cc1,0.15
C[Si](C)(Cl)c1ccc(C(=O)O)cc1,0.21
C[Si](C)(F)c1ccc(C(=O)O)cc1,0.17
CCNc1ccc(C(=O)O)cc1,-0.61
CN(C)c1ccc(C(=O)O)cc1,-0.83
CN(c1ccc(C(=O)O)cc1)S(C)(=O)=O,0.24
CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1,0.65
CS(=O)(=O)N(c1ccc(C(=O)O)cc1)S(C)(=O)=O,0.49
CN(C)Sc1ccc(C(=O)O)cc1,0.09
CN(C)N=Nc1ccc(C(=O)O)cc1,-0.03
Cn1c2cc(C(=O)O)ccc2n[n+]1C,1.17
CP(C)(=O)c1ccc(C(=O)O)cc1,0.5
COP(=O)(OC)c1ccc(C(=O)O)cc1,0.53
CP(C)c1ccc(C(=O)O)cc1,0.06
C[S+](C)c1ccc(C(=O)O)cc1,0.9
Cc1ccc(S(=O)(=O)S(C)(C)c2ccc(C(=O)O)cc2)cc1,0.96
[NH3+]CCc1ccc(C(=O)O)cc1,0.17
C[SiH](C)c1ccc(C(=O)O)cc1,0.04
O=C(O)c1ccc(C#CC(F)(F)F)cc1,0.51
O=C(O)c1ccc(/C(F)=C(\F)C(F)(F)F)cc1,0.46
O=C(O)c1ccc(N=C(C(F)(F)F)C(F)(F)F)cc1,0.23
O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,0.48
O=C(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1,0.53
O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,1.09
O=C(O)c1ccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)cc1,1.1
O=C(O)c1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,0.48
O=C(O)c1ccc(SC(F)(C(F)(F)F)C(F)(F)F)cc1,0.51
O=C(O)c1ccc([Te]C(F)(F)C(F)(F)C(F)(F)F)cc1,0.48
O=C(O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.3
O=C(O)c1ccc(C(SC(F)(F)F)SC(F)(F)F)cc1,0.44
N#CC(C#N)c1ccc(C(=O)O)cc1,0.52
O=C(O)c1ccc(/C=C\C(F)(F)F)cc1,0.17
O=C(O)c1ccc(/C=C/C(F)(F)F)cc1,0.27
O=C(O)c1ccc(/C=C/S(=O)(=O)C(F)(F)F)cc1,0.55
N#C/C=C/c1ccc(C(=O)O)cc1,0.17
CC#Cc1ccc(C(=O)O)cc1,0.03
CN(C(=O)C(F)(F)F)c1ccc(C(=O)O)cc1,0.39
O=C/C=C/c1ccc(C(=O)O)cc1,0.13
O=C(O)c1ccc(C2CC2)cc1,-0.21
C=C(C)c1ccc(C(=O)O)cc1,0.05
C/C=C/c1ccc(C(=O)O)cc1,-0.09
C=CCc1ccc(C(=O)O)cc1,-0.14
CCC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-],0.64
C=CCOc1ccc(C(=O)O)cc1,-0.25
CCC(=O)c1ccc(C(=O)O)cc1,0.48
CCOC(=O)c1ccc(C(=O)O)cc1,0.45
CC(=O)OCc1ccc(C(=O)O)cc1,0.05
O=C(O)CCc1ccc(C(=O)O)cc1,-0.07
C=CCSc1ccc(C(=O)O)cc1,0.12
C=CC[Se]c1ccc(C(=O)O)cc1,0.12
CC(=O)N(C)c1ccc(C(=O)O)cc1,0.26
CC(=O)NCc1ccc(C(=O)O)cc1,-0.05
CCOC(=O)Nc1ccc(C(=O)O)cc1,-0.15
CC(C)(c1ccc(C(=O)O)cc1)[N+](=O)[O-],0.2
CC(C)c1ccc(C(=O)O)cc1,-0.15
CCCc1ccc(C(=O)O)cc1,-0.13
CCNC(=O)Nc1ccc(C(=O)O)cc1,-0.26
CCNC(=S)Nc1ccc(C(=O)O)cc1,0.07
CC(C)Oc1ccc(C(=O)O)cc1,-0.45
CCCOc1ccc(C(=O)O)cc1,-0.25
CC(O)Cc1ccc(C(=O)O)cc1,-0.17
CC(C)(OO)c1ccc(C(=O)O)cc1,-0.14
CC(C)Sc1ccc(C(=O)O)cc1,0.07
CN(C)Cc1ccc(C(=O)O)cc1,0.01
C[Ge](C)(C)c1ccc(C(=O)O)cc1,0.0
C[N+](C)(C)c1ccc(C(=O)O)cc1,0.82
C[NH+](C)Cc1ccc(C(=O)O)cc1,0.43
CO[Si](C)(C)c1ccc(C(=O)O)cc1,-0.02
C[Si](C)(C)Oc1ccc(C(=O)O)cc1,-0.27
CO[Si](C)(OC)c1ccc(C(=O)O)cc1,0.1
CO[Si](OC)(OC)c1ccc(C(=O)O)cc1,0.13
C[P+](C)(C)c1ccc(C(=O)O)cc1,0.73
C[Si](C)(C)c1ccc(C(=O)O)cc1,-0.07
C[Sn](C)(C)c1ccc(C(=O)O)cc1,0.0
O=C(O)c1ccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)cc1,1.34
O=C(O)c1ccc(C2(F)C(F)(F)C(F)(F)C2(F)F)cc1,0.53
O=C(O)c1ccc(C(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.79
O=C(O)c1ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,0.55
O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.52
O=C(O)c1ccc(S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,1.13
O=C(O)c1ccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,0.58
O=C(O)c1ccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)cc1,0.53
O=C(O)c1ccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1,0.54
N#CC(C#N)(C#N)c1ccc(C(=O)O)cc1,0.96
O=C(O)c1ccc(C2(O)C(F)(F)C(F)(F)C2(F)F)cc1,0.37
N#CC(C#N)=Cc1ccc(C(=O)O)cc1,0.84
O=C(O)c1ccc(-c2ccc(Br)o2)cc1,0.0
O=C(O)c1ccc(N2C(=O)C=CC2=O)cc1,0.27
O=C(O)c1ccc(N2C(=O)CC(Cl)C2=O)cc1,0.46
O=C(O)c1ccc(-c2cccnn2)cc1,0.48
CC(C#N)(C#N)c1ccc(C(=O)O)cc1,0.57
O=C(O)c1ccc(-c2ccncn2)cc1,0.63
O=C(O)c1ccc(-c2ncccn2)cc1,0.53
O=C(O)c1ccc(-c2cncnc2)cc1,0.39
O=C(O)c1ccc(-c2ccco2)cc1,0.02
O=C(O)c1ccc(-c2cccs2)cc1,0.05
O=C(O)c1ccc(-c2ccsc2)cc1,-0.02
O=C(O)c1ccc(-c2ccc[se]2)cc1,0.04
O=C(O)c1ccc(-c2ccc[te]2)cc1,0.03
O=C(O)c1ccc(-n2cccc2)cc1,0.37
O=C(O)c1ccc(N2C(=O)CCC2=O)cc1,0.31
CC(=O)/C=C/c1ccc(C(=O)O)cc1,-0.01
CC(=O)N(C(C)=O)c1ccc(C(=O)O)cc1,0.33
O=C(O)c1ccc(C2CCC2)cc1,-0.14
CC(C)C(=O)c1ccc(C(=O)O)cc1,0.47
CC(C)C(=O)Nc1ccc(C(=O)O)cc1,-0.1
CC(C)(C)c1ccc(C(=O)O)cc1,-0.2
CCC(C)c1ccc(C(=O)O)cc1,-0.12
CC(C)Cc1ccc(C(=O)O)cc1,-0.12
CCCCc1ccc(C(=O)O)cc1,-0.16
CCCCOc1ccc(C(=O)O)cc1,-0.32
CC(C)(O)Cc1ccc(C(=O)O)cc1,-0.17
COC(OC)(OC)c1ccc(C(=O)O)cc1,-0.04
CC[As](CC)c1ccc(C(=O)O)cc1,0.0
CC[As](=O)(CC)c1ccc(C(=O)O)cc1,0.44
CC[As](=S)(CC)c1ccc(C(=O)O)cc1,0.44
CCCCNc1ccc(C(=O)O)cc1,-0.51
CCN(CC)c1ccc(C(=O)O)cc1,-0.72
CCP(=O)(CC)c1ccc(C(=O)O)cc1,0.47
CCOP(=O)(/N=N\c1ccc(C(=O)O)cc1)OCC,0.74
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,0.6
CCP(CC)c1ccc(C(=O)O)cc1,0.13
CCP(=S)(CC)c1ccc(C(=O)O)cc1,0.46
C[N+](C)(C)Cc1ccc(C(=O)O)cc1,0.44
C[NH+](C)CCc1ccc(C(=O)O)cc1,0.14
C[Si](C)(C)OCc1ccc(C(=O)O)cc1,-0.05
C[Si](C)(C)Cc1ccc(C(=O)O)cc1,-0.21
CN(C)P(=O)(c1ccc(C(=O)O)cc1)N(C)C,0.4
CN(C)P(c1ccc(C(=O)O)cc1)N(C)C,0.25
N#CC(C#N)=C(C#N)c1ccc(C(=O)O)cc1,0.98
N#Cc1ccc(-c2ccc(C(=O)O)cc2)o1,0.1
O=Cc1ccc(-c2ccc(C(=O)O)cc2)o1,-0.05
O=C(O)c1ccc(-c2ccccn2)cc1,0.17
O=C(O)c1ccc(-c2cccnc2)cc1,0.25
O=C(O)c1ccc(-c2ccncc2)cc1,0.44
Cc1nc(C)nc(-c2ccc(C(=O)O)cc2)n1,0.39
O=C(O)c1ccc(C2=CCCC2)cc1,-0.05
CCOC(=O)/C=C/c1ccc(C(=O)O)cc1,0.03
O=C(O)c1ccc(C2CCCC2)cc1,-0.14
CC(C)(C)C(=O)c1ccc(C(=O)O)cc1,0.32
CCCCOC(=O)Nc1ccc(C(=O)O)cc1,-0.05
CCC(C)(C)c1ccc(C(=O)O)cc1,-0.18
CC(C)(C)Cc1ccc(C(=O)O)cc1,-0.17
CCCCCc1ccc(C(=O)O)cc1,-0.15
CCCCCOc1ccc(C(=O)O)cc1,-0.34
CCOP(=O)(Cc1ccc(C(=O)O)cc1)OCC,0.06
C[N+](C)(C)CCc1ccc(C(=O)O)cc1,0.13
C[Si](C)(C)CCc1ccc(C(=O)O)cc1,-0.17
C[Si](C)(C)O[Si](C)(C)c1ccc(C(=O)O)cc1,-0.01
O=C(O)c1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,0.24
